Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
Yucatán,2018,TV-MA,"Adventure, Comedy","Luis Tosar, Rodrigo De la Serna, Joan Pera, Stephanie Cayo","Two white collar thieves compete fiercely against the other trying to steal millions from an old baker, that he won in the lotto.","Spanish, Polish",Spain,tt6502956,N/A,N/A
Trespass Against Us,2016,R,"Action, Crime, Drama, Thriller","Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith",A man looks to find a way to escape the criminal ways of his outlaw family.,English,UK,tt3305308,"$5,711","Potboiler Productions, Film4"
The Last Summer,2019,TV-14,"Comedy, Romance","K.J. Apa, Maia Mitchell, Norman Johnson Jr., Jacob Latimore","Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",English,USA,tt7957694,N/A,Gulfstream Pictures
Sinister 2,2015,R,"Horror, Mystery, Thriller","James Ransone, Shannyn Sossamon, Robert Daniel Sloan, Dartanian Sloan",A young mother and her twin sons move into a rural house that's marked for death.,English,"USA, UK, Canada",tt2752772,"$27,740,955",Blumhouse
Bennett's War,2019,PG-13,Sport,"Michael Roark, Ali Afshar, Allison Paige, Brando Eaton","Soldier Marshall Bennett returns back home after sustaining injuries from an improvised explosive device overseas. When he learns his father is behind on his mortgage payments, Marshall turns to competitive racing to save the family farm.",English,USA,tt7370952,"$1,056,416",ESX Entertainment
A Haunted House,2013,R,"Comedy, Fantasy","Marlon Wayans, Marlene Forte, Essence Atkins, David Koechner","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help.","English, Spanish",USA,tt2243537,"$40,041,683",Baby Way
Anthony Jeselnik: Fire in the Maternity Ward,2019,TV-MA,Comedy,Anthony Jeselnik,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",English,USA,tt10050780,N/A,N/A
"The Goods: Live Hard, Sell Hard",2009,R,Comedy,"Jeremy Piven, Ving Rhames, James Brolin, David Koechner",Used-car liquidator Don Ready is hired by a flailing auto dealership to turn their Fourth of July sale into a majorly profitable event.,English,USA,tt1092633,"$15,122,676",Gary Sanchez Productions
Sandy Wexler,2017,TV-14,Comedy,"Adam Sandler, Jennifer Hudson, Kevin James, Colin Quinn","Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.",English,USA,tt5893332,N/A,Happy Madison Productions
Sex and the City 2,2010,R,"Comedy, Drama, Romance","Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.","English, Arabic",USA,tt1261945,"$95,347,692",Darren Star
Badland,2019,TV-14,Western,"Kevin Makely, Trace Adkins, Mira Sorvino, Bruce Dern","Detective Matthias Breecher is hired to track down the worst of the Confederate war criminals. As he roams the Old West seeking justice, his resolve is tested when he meets a determined pioneer woman who is far more than she seems.",English,USA,tt10253466,N/A,Papa Octopus Productions
The Most Assassinated Woman in the World,2018,TV-MA,"Biography, Drama, Mystery, Thriller","Niels Schneider, Anna Mouglalis, Eric Godon, Constance Dollé","Paula Maxa is the Parisian Grand Guignol Theatre's leading lady, famous for being murdered on stage every day. But is there a link between the theatre and a series of gruesome real-life murders?",French,"Belgium, UK, USA",tt6186696,N/A,Fontana
Bushwick,2017,TV-MA,"Action, Thriller","Dave Bautista, Brittany Snow, Angelic Zambrana, Jeremie Harris","When a U.S. based military force invades their Brooklyn neighborhood, 20-year-old Lucy and war veteran Stupe must depend on each other to survive.",English,USA,tt4720702,N/A,"Bullet Pictures, XYZ Films"
Dilwale,2015,Not Rated,"Action, Comedy, Drama, Romance","Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon","The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",Hindi,India,tt4535650,"$4,871,263",N/A
Ibiza,2018,TV-MA,"Comedy, Romance","Gwen Elizabeth Duchon, Gillian Jacobs, Michaela Watkins, Phoebe Robinson",A young American woman and her two best friends seek out a hot DJ in Spain.,English,USA,tt3685236,N/A,"Gary Sanchez Productions, Good Universe"
Jailbreak,2017,TV-MA,"Action, Comedy","Celine Tran, Jean-Paul Ly, Laurent Plancel, Tharoth Sam","What started as a simple escort mission will soon turn to chaos as the prisoners of Koh Kla take over the prison grounds. A special task force [Jean-Paul Ly, Dara Our, Tharoth Sam] gets ...","Khmer, English, French",Cambodia,tt5741304,N/A,N/A
"Game Over, Man!",2018,TV-MA,"Action, Comedy","Adam Devine, Anders Holm, Blake Anderson, Chloe Bridges",Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,English,USA,tt3317234,N/A,Scott Rudin Productions
The Same Blood,2016,N/A,"Short, Crime, Family",N/A,One day in the life of two brothers whose different views on life suddenly faced with each other in a battle for the truth.,N/A,Belarus,tt5131006,N/A,N/A
Love Wedding Repeat,2020,TV-MA,"Comedy, Romance","Sam Claflin, Olivia Munn, Freida Pinto, Eleanor Tomlinson","While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",English,"UK, Italy",tt5096470,N/A,Notorious Pictures
Apollo 18,2011,PG-13,"Horror, Mystery, Sci-Fi, Thriller","Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa","Decades-old found footage from NASA's abandoned Apollo 18 mission, where three American astronauts were sent on a secret expedition, reveals the reason the U.S. has never returned to the moon.",English,"USA, Canada",tt1772240,"$17,687,709",Dimension Films
Strange Weather,2016,R,Drama,"Holly Hunter, Carrie Coon, Kim Coates, Choppy Guillotte","in an effort to deal with the grief over the death of her son, a Georgia mother travels the back roads of the deep south to settle a score. A story of grief and forgiveness, of looking inward to find a way to move forward.",English,USA,tt5205210,N/A,"iDeal Partners Film Fund, Netflix, Brainstorm Media"
Rolling Papers,2015,TV-MA,"Documentary, Biography, News","Ricardo Baca, Ryan Clendenin, Whoopi Goldberg, Ry Prichard","At ground zero of the green rush, The Denver Post became the first major media outlet to appoint a marijuana editor. Policy news, strain reviews, parenting advice and edible recipes are the new norm in the unprecedented world of pot journalism.","Spanish, English","USA, Uruguay",tt3621360,N/A,N/A
Chernobyl Diaries,2012,R,"Horror, Mystery, Thriller","Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley","Six tourists hire an extreme tour guide who takes them to the abandoned city Pripyat, the former home to the workers of the Chernobyl nuclear reactor. During their exploration, they soon discover they are not alone.","English, Ukrainian, Russian",USA,tt1991245,"$18,119,640","Oren Peli, Brian Witten Pictures"
The Sea of Trees,2015,PG-13,"Drama, Fantasy, Mystery","Matthew McConaughey, Ryoko Seta, Sienna Tow, Naoko Marshall",A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,"English, Japanese",USA,tt3450900,"$20,444","Gil Netter, Waypoint Entertainment"
The Cat in the Hat,2003,PG,"Adventure, Comedy, Family, Fantasy","Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning",Two bored children have their lives turned upside down when a talking cat comes to visit them.,English,USA,tt0312528,"$101,149,285","Alphaville Films, Imagine Entertainment, DreamWorks SKG, Universal Pictures"
Cut Bank,2014,R,"Crime, Drama, Thriller","Michael Stuhlbarg, Bruce Dern, John Malkovich, Joyce Robbins",A young man's life is unraveled after witnessing a murder that he filmed in his rural town of Cut Bank.,English,USA,tt1661820,N/A,"Untitled Entertainment, MT Media"
Casa de mi Padre,2012,R,"Comedy, Western","Will Ferrell, Diego Luna, Pedro Armendáriz Jr., Genesis Rodriguez","Scheming on a way to save their father's ranch, the Alvarez brothers find themselves in a war with Mexico's most feared drug lord.","Spanish, English","USA, Mexico",tt1702425,"$5,909,483",Nala Films
Baaghi,2016,Not Rated,"Action, Romance, Thriller","Shraddha Kapoor, Tiger Shroff, Sudheer Babu Posani, Paras Arora",A martial arts student seeks revenge after the murder of his master.,Hindi,India,tt4864932,"$438,207",N/A
Demonic,2015,R,"Horror, Mystery, Thriller","Maria Bello, Frank Grillo, Cody Horn, Dustin Milligan",A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts.,English,USA,tt1841642,N/A,N/A
The Longshots,2008,PG,"Biography, Comedy, Drama, Family, Sport","Ice Cube, Keke Palmer, Tasha Smith, Jill Marie Jones","The true story of Jasmine Plummer who, at the age of eleven, became the first female to play in Pop Warner football tournament in its 56-year history.",English,USA,tt1091751,"$11,537,046","Dimension Films, Cubevision"
Friend Request,2016,R,"Horror, Mystery, Thriller","Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan","When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.",English,Germany,tt3352390,"$3,759,078","Wiedemann &amp; Berg Filmproduktion, Two Oceans Production, Seven Pictures"
The Duel,2016,R,"Drama, Western","Woody Harrelson, Liam Hemsworth, Alice Braga, Emory Cohen",A Texas Ranger investigates a series of unexplained deaths in a town called Helena.,"English, Spanish",USA,tt2436682,N/A,"Atomic Entertainment, Mandeville Films"
Les ténèbres révélées de Silent Hill révélation 3D,2013,N/A,Documentary,"Maxime Alexandre, M.J. Bassett, Sean Bean, Don Carmody",N/A,English,France,tt4445580,N/A,N/A
Hangman,2017,R,"Crime, Drama, Mystery, Thriller","Al Pacino, Karl Urban, Brittany Snow, Joe Anderson",A homicide detective brings his partner out of retirement to help catch a serial killer whose crimes are based on the children's game Hangman.,English,USA,tt3011960,N/A,"Patriot Pictures, Cheyenne Enterprises"
Lila,1968,R,"Crime, Horror, Romance, Thriller","Susan Stewart, Steve Vincent, James Brand, Vic Lance","A topless dancer attracts, seduces, then murders the men she sleeps with. She does it with a twist, however; she kills them with garden tools.",English,USA,tt0063272,N/A,N/A
Polar,2019,TV-MA,"Action, Crime, Drama, Thriller","Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren","A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.","English, Russian","USA, Germany",tt4139588,N/A,"Constantin Film, Dark Horse Entertainment"
Ek Main Aur Ekk Tu,2012,Not Rated,"Comedy, Drama, Romance","Kareena Kapoor, Boman Irani, Zenobia Shroff, Imran Khan",A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?,Hindi,India,tt1703958,"$1,155,545",N/A
The Warning,2018,TV-MA,"Action, Adventure, Crime, Drama, Fantasy, Mystery, Thriller","Raúl Arévalo, Aura Garrido, Hugo Arbues, Belén Cuesta",Ten-year-old Nico receives a threatening letter and now his life is in danger. No one seems to believe him except one person that he doesn't know who has come to believe that fate itself wants the boy dead and tries to prevent it.,Spanish,Spain,tt3711510,N/A,N/A
Iron Sky: The Coming Race,2019,N/A,"Action, Adventure, Comedy, Sci-Fi","Lara Rossi, Vladimir Burlakov, Kit Dale, Julia Dietze",A follow-up to the film Iron Sky (2012) in which Nazis plan to take over the world after lying dormant in a secret military base on the moon.,"English, German","Finland, Germany, Belgium",tt3038708,N/A,"Vertical Entertainment, 27 Films Production, Iron Sky Universe, Potemkino"
Shimmer Lake,2017,Not Rated,"Crime, Drama, Mystery, Thriller","Benjamin Walker, Rainn Wilson, Stephanie Sigman, John Michael Higgins",An inventive crime thriller told backwards -- reversing day by day through a week -- following a local sheriff's quest to unlock the mystery of three small town criminals and a bank heist gone wrong.,English,"Canada, USA",tt1386691,N/A,N/A
Soul Plane,2004,R,Comedy,"Tom Arnold, Kevin Hart, Method Man, Snoop Dogg","Things get raucously funny aboard the maiden flight of a black-owned airline, thanks to some last-minute passenger additions.","English, Spanish",USA,tt0367085,"$14,190,750","Metro Goldwyn Mayer, Boz Productions, Turbo Productions"
American Anarchist,2016,TV-MA,Documentary,"William Powell, Charlie Siskel, Ochan Kusuma-Powell, Jeff Nightbyrd","The story of one of the most infamous books ever written, ""The Anarchist Cookbook,"" and the role it's played in the life of its author, now 65, who wrote it at 19 in the midst of the counterculture upheaval of the late '60s and early '70s.",English,USA,tt6032170,N/A,"Bow and Arrow Entertainment, Gravitas Ventures, Patna Pictures"
She Hate Me,2004,R,"Comedy, Drama","Anthony Mackie, Kerry Washington, Ellen Barkin, Monica Bellucci","Fired from his job for exposing corrupt business practices, a former biotech executive turns to impregnating wealthy lesbians for profit.","English, German, Spanish",USA,tt0384533,"$366,037",40 Acres &amp; A Mule Filmworks
The Week Of,2018,TV-14,Comedy,"Adam Sandler, Chris Rock, Steve Buscemi, Rachel Dratch","Two fathers with opposing personalities come together to celebrate the wedding of their children. They are forced to spend the longest week of their lives together, and the big day cannot come soon enough.",English,USA,tt6821012,N/A,"Happy Madison Productions, Netflix"
Lady Bloodfight,2016,R,"Action, Crime, Drama, Thriller","Amy Johnston, Muriel Hofmann, Jenny Wu, Kathy Wu","Upon arriving in Hong Kong, an American woman is beaten up and mugged by thugs. She's taken in by a martial arts master who trains her for a formidable fight competition known as the Kumite.","English, Cantonese, Russian, Portuguese",Hong Kong,tt4327752,N/A,N/A
Earthquake Bird,2019,R,"Crime, Drama, Mystery, Romance, Thriller","Alicia Vikander, Kiki Sukezane, Kenichi Masuda, Chiaki Kawamo","An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.","English, Japanese","UK, Japan, USA",tt8178486,N/A,Scott Free Productions
Bokeh,2017,TV-MA,"Drama, Sci-Fi","Maika Monroe, Matt O'Leary, Arnar Jónsson, Gunnar Helgason","On a romantic getaway to Iceland, a young American couple wake up one morning to discover every person on earth has disappeared. Their struggle to survive and to reconcile the mysterious ...",English,"USA, Iceland",tt3722062,N/A,"Zealous Pictures, Verge Pictures, Vintage Pictures"
W.E.,2011,R,"Drama, History, Romance","Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac","The affair between King Edward VIII and American divorcée Wallis Simpson, and a contemporary romance between a married woman and a Russian security guard.","English, French, Russian",UK,tt1536048,"$583,455",N/A
Casting JonBenet,2017,TV-14,"Documentary, Crime, Drama","Hannah Cagwin, Aeona Cruz, Liv Bagley, Shylee Sagle","In the months following the unsolved murder of 6-year-old beauty queen JonBenet Ramsey, responses were elicited from her Colorado hometown community, creating a work of art from the collective memories and mythologies the crime inspired.",English,"USA, Australia, China",tt6333052,N/A,N/A
By the Sea,2015,R,"Drama, Romance","Brad Pitt, Angelina Jolie, Mélanie Laurent, Melvil Poupaud",A couple tries to repair their marriage while staying at a hotel in France.,"English, French, Ukrainian","France, Malta, USA",tt3707106,"$538,460","Jolie Pas, Universal Pictures"
Illang: The Wolf Brigade,2018,TV-MA,"Action, Sci-Fi","Dong-won Gang, Han Hyo-joo, Jung Woo-sung, Yeri Han","Set in the distant future where both North and South Koreas agree to establish a joint government, which has been in preparation for a duration of 7 years, the plot focuses on political ...",Korean,South Korea,tt3967878,N/A,Lewis Pictures
IO,2019,TV-14,"Adventure, Drama, Sci-Fi","Margaret Qualley, Anthony Mackie, Danny Huston, Tom Payne","As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",English,USA,tt3256226,N/A,N/A
Hope Springs Eternal,2018,PG,"Comedy, Drama","Mia Rose Frampton, Stony Blyden, Juliette Angelo, Beth Lacke","When 18 year old Hope Gracin suddenly finds herself in remission from end-stage cancer, she must learn to live without an expiration date.",English,USA,tt5516404,N/A,Samuel Goldwyn Films
Where the Money Is,2000,PG-13,"Drama, Comedy, Crime","Paul Newman, Linda Fiorentino, Dermot Mulroney, Susan Barnes","Old bank robber Henry, paralyzed from a stroke, is moved from a prison hospital to a retirement home, where Carol is a nurse. She doesn't believe he's paralyzed and sees him as a way out of her boring life.",English,"Germany, USA, UK, Canada",tt0149367,"$5,661,798","Scott Free Productions, Gramercy Pictures, Pacifica Film Distribution, PolyGram Filmed Entertainment, Intermedia Films"
Mubarakan,2017,PG-13,"Comedy, Romance","Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Athiya Shetty","Singleton Kartar Singh is left with the responsibility of raising his 2 orphaned nephews. He asks his brother to raise Charan and his sister in London to raise Karan. When the twins cross continents, they leave behind a trail of confusion.",Hindi,India,tt6272828,"$758,868","Cine1 Studios, Mark Production"
Vincent N Roxxy,2016,R,"Crime, Drama, Thriller","Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch",A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,English,USA,tt3704298,N/A,"Unified Pictures, Vertical Entertainment"
Tall Girl,2019,TV-PG,"Comedy, Drama, Family, Romance","Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc","Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",English,USA,tt9252508,N/A,Wonderland Sound and Vision
USS Indianapolis: Men of Courage,2016,R,"Action, Drama, History, Thriller, War","Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter","During World War II, an American navy ship is sunk by a Japanese submarine leaving 890 crewmen stranded in shark infested waters.","English, Japanese",USA,tt2032572,N/A,Hannibal Pictures
Tremors: A Cold Day in Hell,2018,PG-13,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller","Jay Anstey, Alistair Moulton Black, Paul du Toit, Michael Gross","The new sequel finds Burt Gummer, who's dying from Graboid poison, and his son Travis at a remote research station in Canada's Nunavut Territory, where they must go up against a new batch of Graboids to save Burt's life.",English,USA,tt6086082,N/A,Universal 1440 Entertainment
The Last Airbender,2010,PG,"Action, Adventure, Family, Fantasy","Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",English,USA,tt0938283,"$131,772,187","Blinding Edge Pictures, Kennedy/Marshall"
Step Sisters,2018,PG-13,Comedy,"Megalyn Echikunwoke, Eden Sher, Lyndon Smith, Gage Golightly","To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.",English,USA,tt5267472,N/A,Broad Green Pictures
Speech,2018,N/A,"Comedy, Romance","Fockeline Ouwerkerk, Egbert Jan Weeber, Peter Faber, Tarikh Janssen","Anne wants to quit her job at the Glossy because she can't write the way she wants, but when she gets to work together with the handsome Rick she changes her mind.",Dutch,Netherlands,tt6867650,N/A,N/A
Backtrack,2015,R,"Drama, Fantasy, Mystery, Thriller","Adrien Brody, Jenni Baird, Bruce Spence, Greg Poppleton",A psychotherapist has nightmares and sinister visions. Ghosts? Is it more than his daughter's death causing this? He returns to his childhood home and dad to put things to rest.,English,"Australia, UK, United Arab Emirates, Canada",tt2784936,N/A,"Head Gear Films, Screen Australia, Screen NSW, See Pictures, Metrol Technology"
Don't Knock Twice,2016,R,"Drama, Fantasy, Horror, Mystery, Thriller","Katee Sackhoff, Lucy Boynton, Richard Mylan, Nick Moran",A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,"Polish, English",UK,tt3622110,N/A,"Red &amp; Black Films, Seymour Films"
The Black Godfather,2019,TV-MA,Documentary,"Clarence Avant, Hank Aaron, Gwen Adolph, Dina R. Andrews","Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",English,USA,tt10289996,N/A,Netflix
Martin Lawrence Live: Runteldat,2002,R,"Documentary, Comedy","Martin Lawrence, Nancy O'Dell, Paul Keeley, Art Cohan","After undergoing a number of personal crises, a stand-up comic returns to the stage for a one-man show featuring stinging social commentary and very personal reflections about his life.",English,USA,tt0327036,"$19,184,820",Paramount
Mo' Money,1992,R,"Action, Comedy, Crime, Romance, Thriller","Damon Wayans, Stacey Dash, Joe Santos, John Diehl",A petty crook stalks a cute girl into an office building and is taken for a job applicant. Conning gets him the job. It's in the mail room of new credit cards. 2 superiors are worse crooks.,English,USA,tt0104897,"$40,227,006",Columbia Pictures Corporation
Special Correspondents,2016,TV-MA,Comedy,"Ricky Gervais, Eric Bana, Vera Farmiga, Kelly Macdonald",A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,"English, Spanish","Canada, UK, USA",tt4181052,N/A,N/A
Pokémon: Mewtwo Strikes Back - Evolution,2019,TV-Y7,"Animation, Action, Family, Fantasy","Sarah Natochenny, Michele Knotz, Bill Rogers, Ikue Ôtani","After a scientific experiment leads to the creation of a clone of Mewtwo, he sets out to destroy the world. Ash and his friends then decide to thwart Mewtwo's evil plans.","Japanese, English","Japan, USA",tt8856470,N/A,Oriental Light and Magic
The Assignment,1997,R,"Action, Crime, Thriller","Aidan Quinn, Donald Sutherland, Ben Kingsley, Claudia Ferri","An American naval officer is recruited for an operation to eliminate his lookalike, the infamous terrorist Carlos The Jackal.","English, French, Spanish",Canada,tt0118647,"$332,597","Columbia, TriStar Pictures"
Love Beats Rhymes,2017,R,"Drama, Musical","John David Washington, Lorraine Toussaint, Method Man, Hana Mae Lee","Azealia Banks, Jill Scott, Lucien Laviscount, and Common lead this inspiring, music-filled story of a struggling rapper looking to find her own voice.",English,USA,tt4686108,N/A,"Codeblack Films, Lionsgate"
Snow Day,2000,PG,"Adventure, Comedy, Family","Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk","When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed.",English,USA,tt0184907,"$60,020,107","Snow Day Productions, Paramount Pictures, Nickelodeon Movies, New Faction Pictures, Paramount Pictures International"
Jem and the Holograms,2015,PG,"Adventure, Drama, Family, Fantasy, Music, Romance, Sci-Fi","Aubrey Peeples, Stefanie Scott, Aurora Perrineau, Hayley Kiyoko","As a small-town girl catapults from underground video sensation to global superstar, she and her three sisters begin a journey of discovering that some talents are too special to keep hidden.",English,USA,tt3614530,"$2,184,640","Blumhouse, SB Projects, Chu Studios"
How It Ends,2018,TV-MA,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller","Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker","In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.",English,USA,tt5246700,N/A,N/A
El Camino Christmas,2017,TV-MA,"Comedy, Crime, Western","Dax Shepard, Kurtwood Smith, Luke Grimes, Emilio Rivera","Eric comes to El Camino looking for his unknown dad. He's harassed, hit and jailed by a drunk local cop, who later shoots at a liquor mart with Eric +4 inside. The sheriff and deputy then shoot up the place, answering each other's fire.",English,USA,tt3255590,N/A,Goldenlight Films
The Legend of Cocaine Island,2018,TV-MA,Documentary,"Bo Butterworth, Bri Bryant, Andy Culpepper, Arthur Dean",A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,English,USA,tt8106596,N/A,N/A
Malevolent,2018,TV-MA,"Horror, Mystery, Thriller","Florence Pugh, Ben Lloyd-Hughes, Scott Chambers, Georgina Bevan",A team of scam artists get more than they bargained for when a job at a haunted country estate gets out of hand.,English,UK,tt2386237,N/A,Intrepid Pictures
Point Blank,1967,Not Rated,"Crime, Drama, Thriller","Lee Marvin, Angie Dickinson, Keenan Wynn, Carroll O'Connor","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.",English,USA,tt0062138,N/A,Metro-Goldwyn-Mayer
Swearnet: The Movie,2014,NC-17,Comedy,"Robb Wells, John Paul Tremblay, Mike Smith, Patrick Roach","Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.",English,Canada,tt2380564,N/A,N/A
Dragonheart: A New Beginning,2000,PG,"Action, Adventure, Comedy, Family, Fantasy","Christopher Masterson, Harry Van Gorkum, Rona Figueroa, Matt Hickey",An orphaned stable boy befriends with a young dragon named Drake and with the help of others help him learn how to fly and fight and protect himself from a ruthless knight.,English,USA,tt0214641,N/A,Universal/Universal Int
I Am Wrath,2016,R,"Action, Thriller","John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell",Stanley Hill opens a can of brutal vengeance on the thugs who murdered his wife and the corrupt cops who are protecting them.,English,USA,tt3212232,N/A,Patriot Pictures
Tales from the Hood 2,2018,R,"Comedy, Horror","Keith David, Bryan Batt, Lou Beatty Jr., Alexandria DeBerry",Horror is back in the hood! The sequel to the ground-breaking original film Tales From the Hood reunites Executive Producer Spike Lee (Honorary Academy Award® winner) and Writers/Directors/...,English,USA,tt8403680,N/A,Universal 1440 Entertainment
XOXO,2016,TV-MA,"Drama, Music","Sarah Hyland, Graham Phillips, Brett DelBuono, Hayley Kiyoko","Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night.",English,USA,tt4855748,N/A,Netflix
Social Animals,2018,R,Comedy,"Noël Wells, Ryan Darbonne, Jon Silberg, Josh Radnor","A childless, single, broke, stoner attempts to salvage her failing business and love life while falling in love for the first time with a married man.",English,USA,tt5639898,"$5,007","Cranium Entertainment, BondIt"
Mercy Black,2019,TV-14,"Horror, Mystery, Thriller","Daniella Pineda, Austin Amelio, Elle LaMont, Lee Eddy","A woman is sent to a mental institution after stabbing her classmate in an attempt to conjure an evil spirit called, Mercy Black. Fifteen years later she's released, and must save her nephew, who has become obsessed with the phenomenon.",English,USA,tt8758086,N/A,Divide/Conquer
Fun Mom Dinner,2017,R,Comedy,"Rob Huebel, Caleb Paddock, Matthew Paddock, Toni Collette","Four moms whose only common ground is their kids' preschool class, decide to get together for a harmless ""fun mom dinner.""",English,USA,tt5829040,N/A,"June Pictures, Gettin&#39; Rad, Voltage Pictures"
The Titan,2018,TV-MA,"Drama, Mystery, Romance, Sci-Fi, Thriller","Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn",A military family takes part in a ground-breaking experiment of genetic evolution and space exploration.,English,"UK, Spain, USA, Germany",tt4986098,N/A,"42, Nostromo Pictures"
Sliver,1993,R,"Drama, Thriller","Sharon Stone, William Baldwin, Tom Berenger, Polly Walker","A woman moves into an exclusive New York City apartment building, which she soon discovers houses tenants with all manner of shocking secrets.",English,USA,tt0108162,"$36,300,000",Paramount Pictures
Half Girlfriend,2017,TV-PG,"Drama, Romance","Shraddha Kapoor, Arjun Kapoor, Vikrant Massey, Rhea Chakraborty","Madhav meets a girl named Riya and falls in love. After stuggling to convince her to be his girlfriend, she half heartedly agrees to be his ""Half Girlfriend""",Hindi,India,tt5474042,N/A,N/A
God Bless the Broken Road,2018,PG,"Drama, Family, Romance","Matthew Derek Davis, Arthur Cartwright, Adam Agee, William Matthews","While grieving the loss of her husband, a financially struggling widow meets a race car driver.",English,USA,tt5702446,"$2,846,257",10 West Studios
,,,,,,,,,,
Screwed,2000,PG-13,"Comedy, Crime","Norm MacDonald, Dave Chappelle, Elaine Stritch, Danny DeVito","A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped.",English,USA,tt0156323,"$7,027,345",Robert Simonds Productions
Mara,2018,R,"Crime, Horror, Thriller","Olga Kurylenko, Craig Conway, Javier Botet, Rosie Fellner","Sophie wakes up, hears scary noises from her parents' bedroom and sees her dad dead. A psychologist arrives there to determine what happened.",English,USA,tt1773753,N/A,"Room 101 Inc., Mann Made Films"
Puerto Ricans in Paris,2015,R,Comedy,"Miriam Shor, Luis Guzmán, Edgar Garcia, Rosario Dawson",Two Puerto Rican NYPD detectives head to Paris to track down a stolen handbag.,English,USA,tt3730510,"$102,890",PRIP Productions
