Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
Austin Powers: The Spy Who Shagged Me,1999,PG-13,"Action, Adventure, Comedy, Crime","Mike Myers, Heather Graham, Michael York, Robert Wagner","Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".","English, German",USA,tt0145660,"$206,040,086","Team Todd, Moving Pictures, Eric&#39;s Boy"
Get Him to the Greek,2010,R,"Adventure, Comedy, Music","Russell Brand, Rose Byrne, Tyler McKinney, Zoe Salmon",A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,English,USA,tt1226229,"$60,974,475",Apatow Company
Slow West,2015,R,"Action, Adventure, Drama, Romance, Thriller, Western","Kodi Smit-McPhee, Caren Pistorius, Aorere Paki, Jeffrey Thomas","A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.","English, French","UK, New Zealand",tt3205376,"$229,094","DMC Film, Rachel Gardner Films, See-Saw Films"
,,,,,,,,,,
The Perfection,2018,TV-MA,"Drama, Horror, Music, Thriller","Marie Maskell, Allison Williams, Christina Jastrzembska, Glynis Davies","When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.","English, Mandarin","USA, Canada",tt7772580,N/A,N/A
Ip Man 3,2015,PG-13,"Action, Biography, Drama, History","Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson","When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.","Cantonese, English","China, Hong Kong",tt2888046,"$2,679,437","Starbright Communications, Henan Film &amp; TV Production Group Henan Film Studio, Pegasus Motion Pictures, Dreams Salon Entertainment Culture, Super Hero Films"
Sinister,2012,R,"Horror, Mystery, Thriller","Ethan Hawke, Juliet Rylance, Fred Thompson, James Ransone",Washed-up true crime writer Ellison Oswalt finds a box of super 8 home movies in his new home that suggest the murder that he is currently researching is the work of a serial killer whose work dates back to the 1960s.,English,"USA, UK, Canada",tt1922777,"$48,086,903","Blumhouse, Automatik"
20 Feet from Stardom,2013,PG-13,"Documentary, Biography, History, Music","Lou Adler, Stephanie 'Stevvi' Alexander, Patti Austin, Chris Botti","Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.","English, Spanish",USA,tt2396566,"$4,946,445",Tremolo Productions
The Stanford Prison Experiment,2015,R,"Biography, Drama, History, Thriller","Billy Crudup, Michael Angarano, Moises Arias, Nicholas Braun","In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",English,USA,tt0420293,"$660,561","Coup d&#39;Etat Films, Vineyard Point Productions"
My Week with Marilyn,2011,R,"Biography, Drama","Michelle Williams, Eddie Redmayne, Julia Ormond, Kenneth Branagh","Colin Clark, an employee of Sir Laurence Olivier, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).","English, French","UK, USA",tt1655420,"$14,600,347","BBC, Trademark Films"
Catfish,2010,PG-13,"Documentary, Drama, Mystery, Thriller","Nev Schulman, Ariel Schulman, Henry Joost, Angela Wesselman-Pierce",Young filmmakers document their colleague's budding online friendship with a young woman and her family which leads to an unexpected series of discoveries.,English,USA,tt1584016,"$3,237,343","Supermarche, Hit the Ground Running"
Jarhead,2005,R,"Action, Biography, Drama, War","Jake Gyllenhaal, Scott MacDonald, Peter Sarsgaard, Jamie Foxx","A psychological study of a soldier's state of mind during the Gulf War. Told through the eyes of a U.S. Marine sniper who struggles to cope with boredom, a sense of isolation, and other issues back home.","English, Spanish, Arabic, Latin","USA, UK, Germany",tt0418763,"$62,658,220",Universal Pictures
Yes Man,2008,PG-13,"Comedy, Romance","Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins","A man challenges himself to say ""yes"" to everything.","English, Korean, Estonian","USA, UK",tt1068680,"$97,690,976","Heyday Films, Zanuck Company"
Goon,2011,R,"Comedy, Drama, Sport","Seann William Scott, Jay Baruchel, Alison Pill, Liev Schreiber","Labeled an outcast by his brainy family, a bouncer overcomes long odds to lead a team of under performing misfits to semi-pro hockey glory, beating the crap out of everything that stands in his way.","English, French","USA, Canada",tt1456635,"$4,168,528","No Trace Camping, Caramel Films"
Ace Ventura: Pet Detective,1994,PG-13,Comedy,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc",A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,English,USA,tt0109040,"$72,217,396","Warner Brothers, Morgan Creek Productions"
Inequality for All,2013,PG,Documentary,"Dolly Parton, Lily Tomlin, Candice Bergen, Mary Tyler Moore",A documentary that follows former U.S. Labor Secretary Robert Reich as he looks to raise awareness of the country's widening economic gap.,English,USA,tt2215151,"$1,205,273",N/A
Olympus Has Fallen,2013,R,"Action, Thriller","Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott",Secret Service agent Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack and works with national security to rescue the President from his kidnappers.,"English, Korean",USA,tt2302755,"$98,925,640",Millennium Films
Dave Chappelle: Sticks & Stones,2019,TV-MA,Comedy,Dave Chappelle,"Dave Chappelle takes on gun culture, the opioid crisis, and the tidal wave of celebrity scandals in a defiant stand-up special filmed in Atlanta.",English,USA,tt10810424,N/A,N/A
John Mulaney: Kid Gorgeous at Radio City,2018,TV-MA,Comedy,"John Mulaney, Jon Brion, Carole Shelley","John Mulaney relays his childhood and Saturday Night Live (1975), eviscerates the value of college, and laments getting older in this comedy special. Other topics include the church, his family, President Trump and pedophiles abducting kids.",English,USA,tt8271714,N/A,N/A
La Bamba,1987,PG-13,"Biography, Drama, Music","Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña",Biographical story of the rise from nowhere of early rock and roll singer Ritchie Valens who died at age 17 in a plane crash with Buddy Holly and The Big Bopper.,"English, Spanish",USA,tt0093378,"$54,215,416","Columbia Pictures Corporation, New Visions Pictures"
Public Enemies,2009,R,"Biography, Crime, Drama, History","Christian Bale, Christian Stolte, Jason Clarke, Johnny Depp","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",English,"USA, Japan",tt1152836,"$97,104,620","Forward Pass, Misher Films"
Supersonic,2014,N/A,Short,"Tunde Adesina, Jamal Ajala, Marvis Mogor, Edd Muruako",N/A,British Sign Language,UK,tt4211540,N/A,N/A
The Edge of Democracy,2019,TV-14,"Documentary, History","Dilma Rousseff, Luiz Inácio Lula da Silva, Marisa Letícia Lula da Silva, Sergio Moro",Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.,"Portuguese, English",Brazil,tt6016744,N/A,"Busca Vida Filmes, Netflix"
The Polar Express,2004,G,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye","On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",English,USA,tt0338348,"$187,935,490","Universal CGI, Playtone Productions, ImageMovers, Warner Brothers, Castle Rock Entertainment, Golden Mean"
Under the Skin,2013,R,"Drama, Horror, Sci-Fi, Thriller","Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",English,"UK, Switzerland",tt1441395,"$2,614,251",N/A
,,,,,,,,,,
,,,,,,,,,,
Zack and Miri Make a Porno,2008,R,"Comedy, Romance","Elizabeth Banks, Seth Rogen, Craig Robinson, Gerry Bednob","Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",English,USA,tt1007028,"$31,457,946","View Askew Productions, Weinstein Company"
The Score,2001,R,"Action, Crime, Drama, Thriller","Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett",An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,"English, French","Germany, Canada, USA",tt0227445,"$71,107,711","Horseshoe Bay Productions, Paramount Pictures, Eagle Point Production, Mandalay Pictures"
